|    id |    name |  nvar |  ncon |  nequ |  status | objective | elapsed_time |  iter | dual_feas | primal_feas | neval_obj | neval_grad | neval_cons | neval_jcon | neval_jgrad | neval_jac | neval_jprod | neval_jtprod | neval_hess | neval_hprod | neval_jhprod | neval_residual | neval_jac_residual | neval_jprod_residual | neval_jtprod_residual | neval_hess_residual | neval_jhess_residual | neval_hprod_residual | extrainfo |
|     6 | Generic |    50 |     0 |     0 | unknown |   5.0e-12 |      7.4e-01 |    30 |  -1.0e+00 |     1.2e-04 |         1 |          1 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|     7 | Generic |    50 |     0 |     0 | unknown |   0.0e+00 |      4.2e-01 |     1 |  -1.0e+00 |     0.0e+00 |         1 |          1 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|     8 | Generic |    50 |     0 |     0 | unknown |   1.1e+02 |      2.6e-01 |    25 |  -1.0e+00 |     4.4e-05 |         1 |          1 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|     9 | Generic |   100 |     0 |     0 | unknown |   4.0e-18 |      8.4e-01 |   991 |  -1.0e+00 |     7.7e-08 |         1 |          1 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|    10 | Generic |   100 |     0 |     0 | unknown |   1.1e-11 |      5.0e-01 |    84 |  -1.0e+00 |     2.0e-04 |         1 |          1 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|    11 | Generic |   100 |     0 |     0 | unknown |   0.0e+00 |      1.4e+00 |     1 |  -1.0e+00 |     0.0e+00 |         1 |          1 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|    12 | Generic |   100 |     0 |     0 | unknown |   2.9e+02 |      7.6e-01 |    20 |  -1.0e+00 |     6.7e-05 |         1 |          1 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|    id |    name |  nvar |  ncon |  nequ |  status | objective | elapsed_time |   iter | dual_feas | primal_feas | neval_obj | neval_grad | neval_cons | neval_jcon | neval_jgrad | neval_jac | neval_jprod | neval_jtprod | neval_hess | neval_hprod | neval_jhprod | neval_residual | neval_jac_residual | neval_jprod_residual | neval_jtprod_residual | neval_hess_residual | neval_jhess_residual | neval_hprod_residual | extrainfo |
|-------|---------|-------|-------|-------|---------|-----------|--------------|--------|-----------|-------------|-----------|------------|------------|------------|-------------|-----------|-------------|--------------|------------|-------------|--------------|----------------|--------------------|----------------------|-----------------------|---------------------|----------------------|----------------------|-----------|
|     1 | Generic |    10 |     0 |     0 | unknown |   1.4e-14 |      2.3e-01 |    640 |  -1.0e+00 |     5.8e-06 |       642 |        428 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|     2 | Generic |    10 |     0 |     0 | unknown |   8.8e-10 |      8.8e-02 |   2517 |  -1.0e+00 |     1.5e-04 |      2519 |       2233 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|     3 | Generic |    10 |     0 |     0 | unknown |   0.0e+00 |      2.8e-03 |      0 |  -1.0e+00 |     0.0e+00 |         2 |          2 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|     4 | Generic |    10 |     0 |     0 | unknown |   3.7e+00 |      3.8e-02 |    167 |  -1.0e+00 |     3.7e-05 |       169 |         97 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|     5 | Generic |    50 |     0 |     0 | unknown |   3.3e-13 |      7.5e-02 |   1645 |  -1.0e+00 |     1.4e-05 |      1647 |       1093 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|     6 | Generic |    50 |     0 |     0 | unknown |   2.6e-08 |      1.6e-01 |   2907 |  -1.0e+00 |     3.9e-04 |      2909 |       2751 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|     7 | Generic |    50 |     0 |     0 | unknown |   0.0e+00 |      2.2e-03 |      0 |  -1.0e+00 |     0.0e+00 |         2 |          2 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|     8 | Generic |    50 |     0 |     0 | unknown |   1.1e+02 |      6.1e+00 |  89107 |  -1.0e+00 |     7.8e-05 |     89109 |      88676 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|     9 | Generic |   100 |     0 |     0 | unknown |   2.5e-13 |      2.2e-01 |   3174 |  -1.0e+00 |     1.1e-05 |      3176 |       2099 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|    10 | Generic |   100 |     0 |     0 | unknown |   3.6e+00 |      6.2e-02 |    733 |  -1.0e+00 |     5.5e-04 |       735 |        483 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|    11 | Generic |   100 |     0 |     0 | unknown |   0.0e+00 |      2.3e-03 |      0 |  -1.0e+00 |     0.0e+00 |         2 |          2 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|    12 | Generic |   100 |     0 |     0 | unknown |   2.9e+02 |      1.8e+01 | 183689 |  -1.0e+00 |     8.1e-05 |    183691 |     183188 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|    id |    name |  nvar |  ncon |  nequ |      status | objective | elapsed_time |    iter | dual_feas | primal_feas | neval_obj | neval_grad | neval_cons | neval_jcon | neval_jgrad | neval_jac | neval_jprod | neval_jtprod | neval_hess | neval_hprod | neval_jhprod | neval_residual | neval_jac_residual | neval_jprod_residual | neval_jtprod_residual | neval_hess_residual | neval_jhess_residual | neval_hprod_residual | extrainfo |
|-------|---------|-------|-------|-------|-------------|-----------|--------------|---------|-----------|-------------|-----------|------------|------------|------------|-------------|-----------|-------------|--------------|------------|-------------|--------------|----------------|--------------------|----------------------|-----------------------|---------------------|----------------------|----------------------|-----------|
|     1 | Generic |    10 |     0 |     0 | first_order |   1.0e-13 |      5.1e-01 |   25952 |   1.4e-05 |     0.0e+00 |     51979 |      31205 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|     2 | Generic |    10 |     0 |     0 | first_order |   9.7e-12 |      1.7e-01 |   10497 |   1.2e-04 |     0.0e+00 |     38709 |      10492 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|     3 | Generic |    10 |     0 |     0 | first_order |   0.0e+00 |      0.0e+00 |       0 |   0.0e+00 |     0.0e+00 |         1 |          1 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|     4 | Generic |    10 |     0 |     0 | first_order |   3.7e+00 |      1.8e+00 |  144116 |   8.3e-05 |     0.0e+00 |    150631 |     268374 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|     5 | Generic |    50 |     0 |     0 | first_order |   1.9e-11 |      1.0e+00 |   27210 |   2.2e-05 |     0.0e+00 |    120348 |      27207 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|     6 | Generic |    50 |     0 |     0 | first_order |   4.3e-11 |      4.5e-01 |    7813 |   3.1e-04 |     0.0e+00 |     42046 |       7808 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|     7 | Generic |    50 |     0 |     0 | first_order |   0.0e+00 |      0.0e+00 |       0 |   0.0e+00 |     0.0e+00 |         1 |          1 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|     8 | Generic |    50 |     0 |     0 | first_order |   1.1e+02 |      1.6e+01 |  265627 |   8.1e-05 |     0.0e+00 |    797337 |     508159 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|     9 | Generic |   100 |     0 |     0 | first_order |   3.8e-12 |      3.6e+00 |   36384 |   2.5e-05 |     0.0e+00 |    300466 |      36379 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|    10 | Generic |   100 |     0 |     0 | first_order |   1.1e-10 |      3.0e-01 |    6837 |   4.3e-04 |     0.0e+00 |     11941 |       6832 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|    11 | Generic |   100 |     0 |     0 | first_order |   0.0e+00 |      0.0e+00 |       0 |   0.0e+00 |     0.0e+00 |         1 |          1 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|    12 | Generic |   100 |     0 |     0 | first_order |   2.9e+02 |      1.2e+02 | 2490524 |   8.8e-05 |     0.0e+00 |   2491913 |    4960361 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
