trunk -lsr1
|    id |    name |  nvar | elapsed_time |  iter |      status | objective | neval_obj | neval_grad |
|     9 | Generic |   500 |      1.6e+01 |  5000 | unknown |   1.7e+03 |         1 |          1 |
|    10 | Generic |   500 |      1.9e+01 |  5000 | unknown |   4.8e+02 |         1 |          1 |
|    11 | Generic |  1000 |      2.0e+01 |  5000 | unknown |   9.5e+02 |         1 |          1 |
|    12 | Generic |  1000 |      1.1e+02 |  5000 | unknown |   4.3e+03 |         1 |          1 |
|    13 | Generic |  1000 |      4.7e+00 |   775 | unknown |   9.7e-05 |         1 |          1 |
|    14 | Generic |  1000 |      2.9e+01 |  5000 | unknown |   3.5e+03 |         1 |          1 |
|    15 | Generic |  1000 |      3.1e+01 |  5000 | unknown |   9.8e+02 |         1 |          1 |
|    16 | Generic |  2000 |      4.0e+01 |  5000 | unknown |   1.9e+03 |         1 |          1 |
|    17 | Generic |  2000 |      8.4e+01 |  5000 | unknown |   7.7e+03 |         1 |          1 |
|    18 | Generic |  2000 |      1.0e+01 |   796 | unknown |   1.8e-04 |         1 |          1 |
|    19 | Generic |  2000 |      3.6e+01 |  2418 | unknown |   7.1e+03 |         1 |          1 |
|    20 | Generic |  2000 |      6.3e+01 |  5000 | unknown |   2.0e+03 |         1 |          1 |
|    21 | Generic |  5000 |      1.2e+02 |  5000 | unknown |   4.9e+03 |         1 |          1 |
|    22 | Generic |  5000 |      2.6e+02 |  5000 | unknown |   2.0e+04 |         1 |          1 |
|    23 | Generic |  5000 |      5.0e+01 |  1436 | unknown |   1.4e-04 |         1 |          1 |
|    24 | Generic |  5000 |      1.1e+02 |  2686 | unknown |   1.8e+04 |         1 |          1 |
|    25 | Generic |  5000 |      1.8e+02 |  5000 | unknown |   1.7e+04 |         1 |          1 |

L-BFGS
|    id |    name |  nvar | elapsed_time |  iter |  status | objective | neval_obj | neval_grad |
|-------|---------|-------|--------------|-------|---------|-----------|-----------|------------|
|     1 | Generic |   100 |      2.1e-01 |   753 | unknown |   1.4e-06 |       755 |        609 |
|     2 | Generic |   100 |      3.2e-01 |  1215 | unknown |   1.6e+01 |      1217 |       1037 |
|     3 | Generic |   100 |      8.8e-03 |    39 | unknown |   5.6e-05 |        41 |         34 |
|     4 | Generic |   100 |      4.2e-02 |   165 | unknown |   2.9e+02 |       167 |        141 |
|     5 | Generic |   100 |      6.3e-02 |   279 | unknown |   8.2e+01 |       281 |        232 |
|     6 | Generic |   500 |      1.0e+01 |  3426 | unknown |   1.7e-05 |      3428 |       2864 |
|     7 | Generic |   500 |      8.4e+00 |  2737 | unknown |   1.4e+02 |      2739 |       2359 |
|     8 | Generic |   500 |      1.2e-01 |    39 | unknown |   5.1e-05 |        41 |         31 |
|     9 | Generic |   500 |      6.7e-01 |   192 | unknown |   1.7e+03 |       194 |        163 |
|    10 | Generic |   500 |      1.0e+00 |   314 | unknown |   4.8e+02 |       316 |        278 |
|    11 | Generic |  1000 |      2.8e+01 |  5000 | unknown |   2.6e+02 |      5002 |       4189 |
|    12 | Generic |  1000 |      2.9e+01 |  5000 | unknown |   5.0e+02 |      5002 |       4371 |
|    13 | Generic |  1000 |      1.3e-01 |    48 | unknown |   1.5e-05 |        50 |         37 |
|    14 | Generic |  1000 |      9.7e-01 |   189 | unknown |   3.5e+03 |       191 |        158 |
|    15 | Generic |  1000 |      1.8e+00 |   336 | unknown |   9.8e+02 |       338 |        284 |
|    16 | Generic |  2000 |      5.5e+01 |  5000 | unknown |   1.3e+03 |      5002 |       4142 |
|    17 | Generic |  2000 |      5.9e+01 |  5000 | unknown |   4.2e+03 |      5002 |       4365 |
|    18 | Generic |  2000 |      4.0e-01 |    56 | unknown |   1.5e-04 |        58 |         37 |
|    19 | Generic |  2000 |      2.2e+00 |   181 | unknown |   7.1e+03 |       183 |        151 |
|    20 | Generic |  2000 |      4.1e+00 |   373 | unknown |   2.0e+03 |       375 |        314 |
